iter	RMSE
0	0.3827459914
1	0.3675212294
2	0.3524704666
3	0.3378069309
4	0.3238436041
5	0.3110856187
6	0.2984130891
7	0.2866392763
8	0.2753208783
9	0.2643650604
10	0.2537126546
11	0.2441093579
12	0.2348489638
13	0.2258569055
14	0.2174816343
15	0.2091224646
16	0.2015008511
17	0.194086496
18	0.1875170597
19	0.1809595532
20	0.174571375
21	0.168717185
22	0.1629635127
23	0.1573394374
24	0.1524177764
25	0.1475118868
26	0.1428649857
27	0.138136966
28	0.134107204
29	0.1301971445
30	0.1263394424
31	0.1225278877
32	0.119027261
33	0.1159938547
34	0.1128690028
35	0.1098768762
36	0.1071642386
37	0.1047701793
38	0.1022029328
39	0.1000312121
40	0.0975961958
41	0.09549716438
42	0.09370874473
43	0.09175278057
44	0.08999437516
45	0.08835076204
46	0.08669525085
47	0.08527700443
48	0.08383456886
49	0.08249060526
50	0.08122613226
51	0.08017247845
52	0.07905235084
53	0.07808824497
54	0.07704906253
55	0.07612359373
56	0.07521741141
57	0.07430260433
58	0.07349102516
59	0.07293230265
60	0.07216043187
61	0.07144449725
62	0.07085510138
63	0.07028416806
64	0.06974140816
65	0.06919663546
66	0.06879057658
67	0.06832431956
68	0.06783863871
69	0.0674000537
70	0.06696172552
71	0.06662939858
72	0.06622046213
73	0.0659380502
74	0.06564344908
75	0.06524556177
76	0.06496524253
77	0.06459511715
78	0.06427119645
79	0.06402099674
80	0.0638285784
81	0.06378040758
82	0.06357246841
83	0.06338114759
84	0.06310704782
85	0.06283838072
86	0.0627604775
87	0.06254278418
88	0.06223883284
89	0.06215599675
90	0.06195690769
91	0.06180150933
92	0.06161824676
93	0.06138868431
94	0.06127697115
95	0.06110993093
96	0.06101153273
97	0.06080969877
98	0.06074554608
99	0.06071221425
100	0.06059913209
101	0.0603438535
102	0.06019346078
103	0.06013797669
104	0.06008764099
105	0.05999470383
106	0.05992884344
107	0.05974214447
108	0.05970094419
109	0.05968670549
110	0.05967158494
111	0.05957139412
112	0.05930609823
113	0.05911088616
114	0.05893854026
115	0.05883156176
116	0.05868307847
117	0.05865159952
118	0.05855787491
119	0.05840181225
120	0.05831056514
121	0.05817590421
122	0.05804585092
123	0.0579802454
124	0.05791796813
125	0.05776854817
126	0.05769398291
127	0.05755757172
128	0.0573820445
129	0.05736486825
130	0.05729640678
131	0.0572287916
132	0.05711825937
133	0.05700916511
134	0.05695674271
135	0.05681529335
136	0.05673012233
137	0.05658318631
138	0.05654502849
139	0.05649820135
140	0.05640499337
141	0.05632547228
142	0.05621012527
143	0.05608418931
144	0.05595537385
145	0.05580801284
146	0.05569295947
147	0.05556483348
148	0.05554287132
149	0.05540950858
150	0.05530422763
151	0.05521309861
152	0.05512299178
153	0.05506991172
154	0.05491658584
155	0.05478975481
156	0.05474915426
157	0.0546548432
158	0.05461897905
159	0.05453457906
160	0.05440830323
161	0.05432934573
162	0.05420085223
163	0.05403976174
164	0.05394808901
165	0.05386655516
166	0.05378431658
167	0.05371600297
