iter	Passed	Remaining
433	1004	1310
434	1006	1307
435	1008	1304
436	1010	1301
437	1012	1299
438	1014	1296
439	1015	1293
440	1017	1290
441	1020	1287
442	1022	1285
443	1024	1282
444	1025	1279
445	1027	1276
446	1030	1274
447	1032	1271
448	1035	1270
449	1037	1268
450	1039	1265
451	1041	1263
452	1043	1260
453	1046	1258
454	1048	1255
455	1050	1253
456	1053	1251
457	1056	1249
458	1058	1247
459	1060	1244
460	1062	1241
461	1064	1239
462	1066	1236
463	1068	1234
464	1070	1231
465	1072	1229
466	1074	1226
467	1076	1223
468	1078	1220
469	1079	1217
470	1082	1215
471	1084	1212
472	1086	1210
473	1087	1207
474	1089	1204
475	1092	1202
476	1094	1199
477	1095	1196
478	1098	1194
479	1100	1192
480	1102	1189
481	1104	1187
482	1106	1184
483	1109	1182
484	1111	1180
485	1114	1178
486	1117	1176
487	1118	1173
488	1120	1171
489	1123	1168
490	1125	1166
491	1127	1164
492	1130	1162
493	1132	1160
494	1135	1157
495	1137	1155
496	1139	1153
497	1142	1151
498	1144	1149
499	1147	1147
500	1149	1144
501	1151	1142
502	1154	1140
503	1157	1139
504	1161	1138
505	1164	1136
506	1167	1134
507	1169	1132
508	1172	1131
509	1175	1129
510	1181	1130
511	1184	1128
512	1186	1126
513	1189	1124
514	1191	1121
515	1194	1120
516	1197	1118
517	1199	1116
518	1201	1113
519	1204	1111
520	1206	1109
521	1208	1106
522	1211	1105
523	1214	1102
524	1216	1100
525	1219	1098
526	1221	1096
527	1224	1094
528	1227	1092
529	1229	1090
530	1231	1088
531	1233	1085
532	1235	1082
533	1238	1080
534	1240	1078
535	1243	1076
536	1245	1073
537	1247	1071
538	1250	1069
539	1252	1066
540	1254	1064
541	1256	1062
542	1259	1059
543	1261	1057
544	1264	1055
545	1266	1053
546	1269	1051
547	1273	1050
548	1275	1048
549	1278	1045
550	1280	1043
551	1283	1041
552	1285	1038
553	1288	1037
554	1290	1034
555	1292	1031
556	1294	1029
557	1296	1026
558	1298	1024
559	1300	1021
560	1303	1020
561	1306	1018
562	1309	1016
563	1312	1014
564	1315	1012
565	1317	1010
566	1319	1007
567	1322	1006
568	1325	1004
569	1327	1001
570	1330	999
571	1332	997
572	1335	995
573	1337	992
574	1340	990
575	1342	988
576	1345	986
577	1348	984
578	1351	982
579	1354	981
580	1357	979
581	1360	977
582	1363	975
583	1367	974
584	1370	971
585	1372	969
586	1374	966
587	1376	964
588	1378	961
589	1381	959
590	1384	957
591	1386	955
592	1388	952
593	1390	950
594	1392	948
595	1395	946
596	1398	944
597	1401	942
598	1403	939
599	1406	937
600	1408	934
601	1410	932
602	1412	930
603	1415	928
604	1417	925
605	1420	923
606	1422	920
607	1424	918
608	1427	916
609	1429	914
610	1432	911
611	1434	909
612	1437	907
613	1440	905
614	1443	903
615	1447	902
616	1450	900
617	1452	897
618	1454	895
619	1456	892
620	1459	890
621	1461	888
622	1464	885
623	1466	883
624	1468	880
625	1470	878
626	1472	875
627	1473	873
628	1476	870
629	1478	868
630	1480	865
631	1482	863
632	1484	860
633	1486	858
634	1488	855
635	1490	852
636	1492	850
637	1495	848
638	1497	845
639	1499	843
640	1501	841
641	1504	838
642	1506	836
643	1509	834
644	1511	831
645	1513	829
646	1515	826
647	1517	824
648	1519	821
649	1521	819
650	1526	818
651	1528	815
652	1530	813
653	1533	811
654	1535	808
655	1538	806
656	1541	804
657	1544	802
658	1546	800
659	1548	797
660	1551	795
661	1553	793
662	1573	799
663	1579	799
664	1603	807
665	1607	805
666	1618	807
667	1622	806
668	1625	804
669	1627	801
670	1630	799
671	1632	796
672	1635	794
673	1638	792
674	1640	789
675	1642	787
676	1645	785
677	1649	783
678	1653	781
679	1657	779
680	1659	777
681	1664	776
682	1668	774
683	1671	772
684	1674	770
685	1676	767
686	1678	764
687	1680	762
688	1683	759
689	1686	757
690	1688	755
691	1690	752
692	1692	749
693	1694	747
694	1696	744
695	1699	742
696	1701	739
697	1703	737
698	1706	734
699	1707	731
700	1710	729
701	1712	726
702	1714	724
703	1717	722
704	1719	719
705	1721	716
706	1723	714
707	1725	711
708	1726	708
709	1728	706
710	1731	703
711	1734	701
712	1736	699
713	1739	696
714	1741	694
715	1743	691
716	1746	689
717	1748	686
718	1751	684
719	1753	681
720	1755	679
721	1757	676
722	1759	674
723	1762	671
724	1764	669
725	1766	666
726	1768	664
727	1770	661
728	1771	658
729	1773	656
730	1775	653
731	1777	650
732	1780	648
733	1782	645
734	1784	643
735	1785	640
736	1787	637
737	1789	635
738	1791	632
739	1794	630
740	1796	627
741	1798	625
742	1800	622
743	1802	620
744	1804	617
745	1806	615
746	1808	612
747	1810	610
748	1812	607
749	1814	604
750	1816	602
751	1818	599
752	1819	596
753	1822	594
754	1824	592
755	1827	589
756	1829	587
757	1831	584
758	1833	582
759	1835	579
760	1837	577
761	1839	574
762	1842	572
763	1844	569
764	1847	567
765	1849	564
766	1851	562
767	1853	560
768	1855	557
769	1858	555
770	1860	552
771	1862	550
772	1864	547
773	1866	544
774	1868	542
775	1870	539
776	1872	537
777	1874	534
778	1876	532
779	1878	529
780	1880	527
781	1881	524
782	1883	522
783	1885	519
784	1887	517
785	1890	514
786	1893	512
787	1895	509
788	1896	507
789	1899	504
790	1900	502
791	1903	499
792	1905	497
793	1908	495
794	1911	492
795	1913	490
796	1915	488
797	1917	485
798	1920	483
799	1922	480
800	1925	478
801	1927	475
802	1929	473
803	1932	471
804	1934	468
805	1936	466
806	1940	464
807	1942	461
808	1944	459
809	1946	456
810	1948	454
811	1951	451
812	1954	449
813	1956	446
814	1958	444
815	1960	442
816	1962	439
817	1964	436
818	1966	434
819	1969	432
820	1971	429
821	1973	427
822	1975	424
823	1977	422
824	1980	420
825	1981	417
826	1984	415
827	1986	412
828	1988	410
829	1990	407
830	1992	405
831	1994	402
832	1995	400
833	1997	397
834	2000	395
835	2002	392
836	2004	390
837	2006	387
838	2008	385
839	2010	382
840	2012	380
841	2014	378
842	2016	375
843	2018	373
844	2020	370
845	2022	368
846	2024	365
847	2026	363
848	2028	360
849	2030	358
850	2032	355
851	2034	353
852	2036	350
853	2038	348
854	2040	346
855	2042	343
856	2044	341
857	2046	338
858	2049	336
859	2051	333
860	2053	331
861	2055	329
862	2057	326
863	2059	324
864	2060	321
865	2063	319
866	2065	316
867	2067	314
868	2069	311
869	2071	309
870	2073	307
871	2075	304
872	2077	302
873	2079	299
874	2081	297
875	2083	294
876	2085	292
877	2087	290
878	2089	287
879	2091	285
880	2093	282
881	2096	280
882	2098	277
883	2099	275
884	2101	273
885	2103	270
886	2105	268
887	2107	265
888	2109	263
889	2112	261
890	2114	258
891	2117	256
892	2119	253
893	2121	251
894	2123	249
895	2126	246
896	2128	244
897	2131	242
898	2134	239
899	2136	237
900	2138	234
901	2140	232
902	2143	230
903	2145	227
904	2147	225
905	2150	223
906	2152	220
907	2154	218
908	2156	215
909	2159	213
910	2161	211
911	2163	208
912	2165	206
913	2167	203
914	2169	201
915	2171	199
916	2173	196
917	2176	194
918	2178	192
919	2181	189
920	2183	187
921	2185	184
922	2187	182
923	2190	180
924	2192	177
925	2194	175
926	2197	173
927	2199	170
928	2201	168
929	2203	165
930	2206	163
931	2208	161
932	2210	158
933	2212	156
934	2214	153
935	2216	151
936	2218	149
937	2221	146
938	2223	144
939	2225	142
940	2227	139
941	2230	137
942	2232	134
943	2234	132
944	2236	130
945	2240	127
946	2242	125
947	2245	123
948	2247	120
949	2249	118
950	2251	116
951	2253	113
952	2256	111
953	2258	108
954	2259	106
955	2261	104
956	2263	101
957	2266	99
958	2268	96
959	2270	94
960	2272	92
961	2274	89
962	2277	87
963	2279	85
964	2281	82
965	2283	80
966	2285	77
967	2287	75
968	2289	73
969	2291	70
970	2293	68
971	2295	66
972	2297	63
973	2299	61
974	2302	59
975	2303	56
976	2306	54
977	2309	51
978	2311	49
979	2313	47
980	2316	44
981	2318	42
982	2321	40
983	2329	37
984	2332	35
985	2335	33
986	2338	30
987	2341	28
988	2343	26
989	2346	23
990	2349	21
991	2352	18
992	2354	16
993	2357	14
994	2360	11
995	2363	9
996	2366	7
997	2368	4
998	2371	2
999	2373	0
